BASE_DATE,IR_CURVE_ID,MAT_CD,INT_RATE
20170824,A100,M0060,0.0205
20170824,A100,M0084,0.0219
20170824,A100,M0120,0.0231
20170824,A100,M0240,0.0239
20171205,A100,M0003,0.0152
20171205,A100,M0006,0.0163
20171205,A100,M0009,0.0176
20171205,A100,M0012,0.0184
20171205,A100,M0018,0.0197
20171205,A100,M0024,0.0205
20171205,A100,M0030,0.0211
20171205,A100,M0036,0.0217
20171205,A100,M0048,0.0227
20171205,A100,M0060,0.0234
20171205,A100,M0084,0.0244
20171205,A100,M0120,0.0251
20171205,A100,M0240,0.0243
20171205,E110,M0003,0.0162
20171205,E110,M0006,0.0177
20171205,E110,M0009,0.0188
20171205,E110,M0012,0.0193
20171205,E110,M0018,0.0208
20171205,E110,M0024,0.0222
20171205,E110,M0030,0.0224
20171205,E110,M0036,0.0232
20171205,E110,M0048,0.0242
20171205,E110,M0060,0.0252
20171205,E110,M0084,0.0257
20171205,E110,M0120,0.0261
20171205,E110,M0240,0.0267
20171201,A100,M0003,0.0151
20171201,A100,M0006,0.0163
20171201,A100,M0009,0.0176
20171201,A100,M0012,0.0183
20171201,A100,M0018,0.0194
20171201,A100,M0024,0.0201
20171201,A100,M0030,0.0207
20171201,A100,M0036,0.0214
20171201,A100,M0048,0.0224
20171201,A100,M0060,0.023
20171201,A100,M0084,0.0242
20171201,A100,M0120,0.0249
20171201,A100,M0240,0.0242
20171201,E110,M0003,0.0162
20171201,E110,M0006,0.0177
20171201,E110,M0009,0.0187
20171201,E110,M0012,0.0192
20171201,E110,M0018,0.0206
20171201,E110,M0024,0.0217
20171201,E110,M0030,0.022
20171201,E110,M0036,0.0228
20171201,E110,M0048,0.0239
20171201,E110,M0060,0.0249
20171201,E110,M0084,0.0255
20171201,E110,M0120,0.0259
20171201,E110,M0240,0.0266
20171204,A100,M0003,0.0151
20171204,A100,M0006,0.0163
20171204,A100,M0009,0.0175
20171204,A100,M0012,0.0183
20171204,A100,M0018,0.0195
20171204,A100,M0024,0.0202
20171204,A100,M0030,0.0207
20171204,A100,M0036,0.0214
20171204,A100,M0048,0.0224
20171204,A100,M0060,0.0231
20171204,A100,M0084,0.0242
20171204,A100,M0120,0.0248
20171204,A100,M0240,0.0241
20171204,E110,M0003,0.0162
20171204,E110,M0006,0.0177
20171204,E110,M0009,0.0187
20171204,E110,M0012,0.0192
20171204,E110,M0018,0.0206
20171204,E110,M0024,0.0218
20171204,E110,M0030,0.0221
20171204,E110,M0036,0.0229
20171204,E110,M0048,0.0239
20171204,E110,M0060,0.0249
20171204,E110,M0084,0.0255
20171204,E110,M0120,0.0259
20171204,E110,M0240,0.0265
20150204,A100,M0003,0.0193
20150204,A100,M0006,0.0194
20150204,A100,M0009,0.0193
20150204,A100,M0012,0.0193
20150204,A100,M0018,0.0193
20150204,A100,M0024,0.0194
20150204,A100,M0030,0.0195
20150204,A100,M0036,0.0196
20150204,A100,M0048,0.0201
20150204,A100,M0060,0.0205
20150204,A100,M0084,0.0215
20150204,A100,M0120,0.0227
20150204,A100,M0240,0.0247
20150204,E110,M0003,0.0196
20150204,E110,M0006,0.0196
20150204,E110,M0009,0.0197
20150204,E110,M0012,0.0198
20150204,E110,M0018,0.0199
20150204,E110,M0024,0.0199
20150204,E110,M0030,0.02
20150204,E110,M0036,0.0202
20150204,E110,M0048,0.0206
20150204,E110,M0060,0.0214
20150204,E110,M0084,0.0222
20150204,E110,M0120,0.0235
20150204,E110,M0240,0.0257
20150205,A100,M0003,0.0192
20150205,A100,M0006,0.0193
20150205,A100,M0009,0.0192
20150205,A100,M0012,0.0193
20150205,A100,M0018,0.0193
20150205,A100,M0024,0.0195
20150205,A100,M0030,0.0197
20150205,A100,M0036,0.0198
20150205,A100,M0048,0.0203
20150205,A100,M0060,0.0208
20150205,A100,M0084,0.0218
20150205,A100,M0120,0.0231
20150205,A100,M0240,0.0249
20150202,A100,M0003,0.0194
20150202,A100,M0006,0.0196
20150202,A100,M0009,0.0195
20150202,A100,M0012,0.0195
20150202,A100,M0018,0.0196
20150202,A100,M0024,0.0197
20150202,A100,M0030,0.0198
20150202,A100,M0036,0.0199
20150202,A100,M0048,0.0203
20150202,A100,M0060,0.0207
20150202,A100,M0084,0.0215
20150202,A100,M0120,0.0226
20150202,A100,M0240,0.0244
20150202,E110,M0003,0.0197
20150202,E110,M0006,0.0198
20150202,E110,M0009,0.0199
20150202,E110,M0012,0.02
20150202,E110,M0018,0.02
20150202,E110,M0024,0.0201
20150202,E110,M0030,0.0203
20150202,E110,M0036,0.0205
20150202,E110,M0048,0.0209
20150202,E110,M0060,0.0216
20150202,E110,M0084,0.0223
20150202,E110,M0120,0.0236
20150202,E110,M0240,0.0254
20150203,A100,M0003,0.0193
20150203,A100,M0006,0.0194
20150203,A100,M0009,0.0193
20150203,A100,M0012,0.0192
20150203,A100,M0018,0.0192
20150203,A100,M0024,0.0193
20150203,A100,M0030,0.0193
20150203,A100,M0036,0.0194
20150203,A100,M0048,0.0199
20150203,A100,M0060,0.0202
20150203,A100,M0084,0.0211
20150203,A100,M0120,0.0224
20150203,A100,M0240,0.0242
20150203,E110,M0003,0.0197
20150203,E110,M0006,0.0197
20150203,E110,M0009,0.0197
20150203,E110,M0012,0.0198
20150203,E110,M0018,0.0197
20150203,E110,M0024,0.0197
20150203,E110,M0030,0.0198
20150203,E110,M0036,0.02
20150203,E110,M0048,0.0204
20150203,E110,M0060,0.0211
20150203,E110,M0084,0.0219
20150203,E110,M0120,0.0232
20150203,E110,M0240,0.0252
20150216,A100,M0003,0.0197
20150216,A100,M0006,0.0199
